10	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
span	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
display	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
block	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
url	名詞,一般,*,*,*,*,*
(/	名詞,サ変接続,*,*,*,*,*
g	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
/_	名詞,サ変接続,*,*,*,*,*
btn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
yp	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
gif	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
no	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
repeat	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
30	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
241	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
text	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
indent	名詞,一般,*,*,*,*,*
:-	名詞,サ変接続,*,*,*,*,*
9999	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
a	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
display	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
block	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
font	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
size	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
100	名詞,数,*,*,*,*,*
%;	名詞,サ変接続,*,*,*,*,*
font	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
weight	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
bold	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
url	名詞,一般,*,*,*,*,*
(/	名詞,サ変接続,*,*,*,*,*
g	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
/_	名詞,サ変接続,*,*,*,*,*
btn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
yp	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
gif	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
no	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
repeat	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
33	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
241	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;	名詞,サ変接続,*,*,*,*,*
text	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
indent	名詞,一般,*,*,*,*,*
:-	名詞,サ変接続,*,*,*,*,*
9999	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
rest	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
span	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
5	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
regist	名詞,一般,*,*,*,*,*
div	名詞,一般,*,*,*,*,*
span	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:-	名詞,サ変接続,*,*,*,*,*
260	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
rest	名詞,一般,*,*,*,*,*
a	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
40	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
regist	名詞,一般,*,*,*,*,*
a	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:-	名詞,サ変接続,*,*,*,*,*
260	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
40	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
rest	名詞,一般,*,*,*,*,*
a	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
hover	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
80	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
ypbox	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
regist	名詞,一般,*,*,*,*,*
a	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
hover	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
background	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
position	名詞,一般,*,*,*,*,*
:-	名詞,サ変接続,*,*,*,*,*
260	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
80	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
rect	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
l	名詞,一般,*,*,*,*,*
{	名詞,サ変接続,*,*,*,*,*
margin	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
bottom	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
10	名詞,数,*,*,*,*,*
px	名詞,一般,*,*,*,*,*
;}	名詞,サ変接続,*,*,*,*,*
読売	名詞,固有名詞,組織,*,*,*,読売,ヨミウリ,ヨミウリ
プレミアム	名詞,一般,*,*,*,*,プレミアム,プレミアム,プレミアム
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登録	名詞,サ変接続,*,*,*,*,登録,トウロク,トーロク
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
記事	名詞,一般,*,*,*,*,記事,キジ,キジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
続き	名詞,一般,*,*,*,*,続き,ツヅキ,ツズキ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
未登録	名詞,一般,*,*,*,*,未登録,ミトウロク,ミトーロク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
新規	名詞,一般,*,*,*,*,新規,シンキ,シンキ
登録	名詞,サ変接続,*,*,*,*,登録,トウロク,トーロク
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
特区	名詞,一般,*,*,*,*,特区,トック,トック
諮問	名詞,サ変接続,*,*,*,*,諮問,シモン,シモン
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
、	記号,読点,*,*,*,*,、,、,、
民間	名詞,一般,*,*,*,*,民間,ミンカン,ミンカン
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
竹中	名詞,固有名詞,人名,姓,*,*,竹中,タケナカ,タケナカ
氏	名詞,接尾,人名,*,*,*,氏,シ,シ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
　	記号,空白,*,*,*,*,　,　,　
内閣	名詞,一般,*,*,*,*,内閣,ナイカク,ナイカク
府	名詞,接尾,地域,*,*,*,府,フ,フ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
午前	名詞,副詞可能,*,*,*,*,午前,ゴゼン,ゴゼン
、	記号,読点,*,*,*,*,、,、,、
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
大胆	名詞,形容動詞語幹,*,*,*,*,大胆,ダイタン,ダイタン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
規制	名詞,サ変接続,*,*,*,*,規制,キセイ,キセイ
緩和	名詞,サ変接続,*,*,*,*,緩和,カンワ,カンワ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
特区	名詞,一般,*,*,*,*,特区,トック,トック
の	助詞,連体化,*,*,*,*,の,ノ,ノ
司令塔	名詞,一般,*,*,*,*,司令塔,シレイトウ,シレートウ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
「	記号,括弧開,*,*,*,*,「,「,「
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
特区	名詞,一般,*,*,*,*,特区,トック,トック
諮問	名詞,サ変接続,*,*,*,*,諮問,シモン,シモン
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
」	記号,括弧閉,*,*,*,*,」,」,」
（	記号,括弧開,*,*,*,*,（,（,（
議長	名詞,一般,*,*,*,*,議長,ギチョウ,ギチョー
・	記号,一般,*,*,*,*,・,・,・
安倍	名詞,固有名詞,人名,姓,*,*,安倍,アベ,アベ
首相	名詞,一般,*,*,*,*,首相,シュショウ,シュショー
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
内定	名詞,サ変接続,*,*,*,*,内定,ナイテイ,ナイテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
POLITICS	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
民間	名詞,一般,*,*,*,*,民間,ミンカン,ミンカン
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
元	接頭詞,名詞接続,*,*,*,*,元,モト,モト
総務	名詞,一般,*,*,*,*,総務,ソウム,ソーム
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
竹中	名詞,固有名詞,人名,姓,*,*,竹中,タケナカ,タケナカ
平蔵	名詞,固有名詞,人名,名,*,*,平蔵,ヘイゾウ,ヘイゾー
慶大	名詞,固有名詞,組織,*,*,*,慶大,ケイダイ,ケイダイ
教授	名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ
、	記号,読点,*,*,*,*,、,、,、
コマツ	名詞,固有名詞,組織,*,*,*,コマツ,コマツ,コマツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
坂根	名詞,固有名詞,人名,姓,*,*,坂根,サカネ,サカネ
正弘	名詞,固有名詞,人名,名,*,*,正弘,マサヒロ,マサヒロ
相談役	名詞,一般,*,*,*,*,相談役,ソウダンヤク,ソーダンヤク
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起用	名詞,サ変接続,*,*,*,*,起用,キヨウ,キヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
閣僚	名詞,一般,*,*,*,*,閣僚,カクリョウ,カクリョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
国家	名詞,一般,*,*,*,*,国家,コッカ,コッカ
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
特区	名詞,一般,*,*,*,*,特区,トック,トック
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
定め	動詞,自立,*,*,一段,未然形,定める,サダメ,サダメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
菅	名詞,固有名詞,人名,姓,*,*,菅,カン,カン
官房	名詞,一般,*,*,*,*,官房,カンボウ,カンボー
長官	名詞,一般,*,*,*,*,長官,チョウカン,チョーカン
、	記号,読点,*,*,*,*,、,、,、
特区	名詞,一般,*,*,*,*,特区,トック,トック
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新藤	名詞,固有名詞,人名,姓,*,*,新藤,シンドウ,シンドー
総務	名詞,一般,*,*,*,*,総務,ソウム,ソーム
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
首相	名詞,一般,*,*,*,*,首相,シュショウ,シュショー
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
閣僚	名詞,一般,*,*,*,*,閣僚,カクリョウ,カクリョー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
麻生	名詞,固有名詞,人名,姓,*,*,麻生,アソウ,アソー
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
総理	名詞,一般,*,*,*,*,総理,ソウリ,ソーリ
・	記号,一般,*,*,*,*,・,・,・
財務	名詞,一般,*,*,*,*,財務,ザイム,ザイム
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
、	記号,読点,*,*,*,*,、,、,、
甘利	名詞,固有名詞,人名,姓,*,*,甘利,アマリ,アマリ
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
再生	名詞,サ変接続,*,*,*,*,再生,サイセイ,サイセイ
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
、	記号,読点,*,*,*,*,、,、,、
稲田	名詞,固有名詞,人名,姓,*,*,稲田,イナダ,イナダ
行政	名詞,一般,*,*,*,*,行政,ギョウセイ,ギョーセイ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
諮問	名詞,サ変接続,*,*,*,*,諮問,シモン,シモン
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
年明け	名詞,一般,*,*,*,*,年明け,トシアケ,トシアケ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
会合	名詞,サ変接続,*,*,*,*,会合,カイゴウ,カイゴー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開き	動詞,自立,*,*,五段・カ行イ音便,連用形,開く,ヒラキ,ヒラキ
、	記号,読点,*,*,*,*,、,、,、
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
特区	名詞,一般,*,*,*,*,特区,トック,トック
の	助詞,連体化,*,*,*,*,の,ノ,ノ
具体	名詞,一般,*,*,*,*,具体,グタイ,グタイ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
事業	名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
議論	名詞,サ変接続,*,*,*,*,議論,ギロン,ギロン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
内定	名詞,サ変接続,*,*,*,*,内定,ナイテイ,ナイテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
他	名詞,非自立,副詞可能,*,*,*,他,ホカ,ホカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
民間	名詞,一般,*,*,*,*,民間,ミンカン,ミンカン
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
以下	名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
秋	名詞,固有名詞,人名,姓,*,*,秋,アキ,アキ
池	名詞,固有名詞,人名,姓,*,*,池,イケ,イケ
玲子	名詞,固有名詞,人名,名,*,*,玲子,レイコ,レイコ
ボストンコンサルティンググループパートナー	名詞,一般,*,*,*,*,*
▽	記号,一般,*,*,*,*,▽,▽,▽
坂村	名詞,固有名詞,人名,姓,*,*,坂村,サカムラ,サカムラ
健	名詞,固有名詞,人名,名,*,*,健,ケン,ケン
東大	名詞,固有名詞,組織,*,*,*,東大,トウダイ,トーダイ
教授	名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ
▽	記号,一般,*,*,*,*,▽,▽,▽
八田	名詞,固有名詞,人名,姓,*,*,八田,ハッタ,ハッタ
達夫	名詞,固有名詞,人名,名,*,*,達夫,タツオ,タツオ
大阪大	名詞,固有名詞,組織,*,*,*,大阪大,オオサカダイ,オーサカダイ
招聘	名詞,サ変接続,*,*,*,*,招聘,ショウヘイ,ショーヘイ
(	名詞,サ変接続,*,*,*,*,*
しょうへい	名詞,サ変接続,*,*,*,*,しょうへい,ショウヘイ,ショーヘイ
)	名詞,サ変接続,*,*,*,*,*
教授	名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
14	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
24	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
